Id,SalePrice
1461,111429.76562399692
1462,134130.66039030618
1463,177230.5838762158
1464,201489.46635635765
1465,188930.2584918202
1466,178648.61610806742
1467,159938.9811892735
1468,175683.697700198
1469,202236.79182916114
1470,113444.87037082341
1471,209924.84450306094
1472,115624.87945143404
1473,111099.89146362426
1474,162602.0554081284
1475,127463.25606433129
1476,339129.2804706389
1477,245957.89667690906
1478,307452.2822390047
1479,299140.2919771247
1480,446841.483740075
1481,310148.4778287179
1482,235960.88831068066
1483,171756.3145566406
1484,188553.4632576623
1485,200009.6615692767
1486,208712.19724498407
1487,305206.4537093126
1488,264022.1581816426
1489,183104.32952360992
1490,207064.49796345917
1491,192223.830139097
1492,101035.81611546443
1493,194086.57702518709
1494,282125.4370858736
1495,289396.69190698717
1496,224832.5734267547
1497,182384.3276028611
1498,174227.2691039934
1499,175107.08788903197
1500,161887.00135733362
1501,162557.2587998931
1502,169772.48954584656
1503,280922.0852387404
1504,246933.68891396731
1505,224811.720014644
1506,185645.32032781487
1507,239523.21429978267
1508,184847.83556664328
1509,155194.5507552215
1510,135645.71645206914
1511,134354.56965824554
1512,148009.68901189286
1513,149522.63862546746
1514,141137.92558183835
1515,195558.6705466111
1516,145613.60149230444
1517,161033.50330345056
1518,144949.09754746352
1519,210094.52200878962
1520,117842.27726058292
1521,120037.50835781246
1522,171834.75973713308
1523,103446.18303590162
1524,108548.81172718368
1525,107108.87674977498
1526,108339.9128704347
1527,108524.98693171085
1528,130035.92445820078
1529,131215.31938176337
1530,173854.0666128374
1531,123387.24454712679
1532,100092.79850914436
1533,136917.0884315027
1534,131332.65208417136
1535,151587.74689560232
1536,109645.30489891634
1537,95198.68752466654
1538,155382.7049486691
1539,178569.11674840297
1540,124802.05364208047
1541,141476.58052392153
1542,133389.1500541982
1543,185636.69517873065
1544,88629.98903141696
1545,110263.53585062423
1546,146833.814540275
1547,134776.27670945026
1548,121683.1544293884
1549,120619.9084616107
1550,134063.7110057324
1551,120845.7684855942
1552,136072.44479628725
1553,126781.04217998381
1554,122305.99693631676
1555,151846.61336175888
1556,103171.50423376748
1557,100034.46627389235
1558,105329.64654064606
1559,98101.57700243994
1560,131948.33217431797
1561,119743.06725725667
1562,123165.95332110263
1563,113586.95133601969
1564,178098.73104793302
1565,154909.54268693316
1566,209743.84340212782
1567,93475.3745857721
1568,197912.78558362968
1569,126680.05150017099
1570,149199.89532307084
1571,124976.82569984297
1572,127034.84403981932
1573,247697.39596717487
1574,129773.69692166802
1575,218873.95905774928
1576,248169.02822604665
1577,198122.13540366536
1578,131269.356191483
1579,140943.17517562327
1580,204199.13109239654
1581,128814.44066697323
1582,121810.33131098535
1583,313070.2361425567
1584,230357.20692837733
1585,156556.31715977745
1586,85853.54115540144
1587,103053.09497152494
1588,122939.0901247805
1589,109242.97171916722
1590,140059.3173088058
1591,92101.45543721154
1592,130567.31732842993
1593,126788.02054641787
1594,119694.97462048782
1595,117578.59856238142
1596,195284.97593872657
1597,162911.1667819986
1598,192460.83732975606
1599,202695.9941384089
1600,204829.6064389784
1601,70634.70995012403
1602,116910.90286048989
1603,87706.23077079961
1604,248920.8988124438
1605,270380.25158329273
1606,166214.38544228318
1607,190226.40572191429
1608,239333.6697206971
1609,185404.3367475131
1610,148657.00530235204
1611,149237.00002489632
1612,169767.10786831472
1613,168757.0462603391
1614,131926.52376530063
1615,99791.04869817884
1616,94359.22628093575
1617,102592.0266015675
1618,118844.99953610491
1619,128055.01667131056
1620,176454.77736318356
